title,absolute_path,relative_path
Birds Morning,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\041_birds_morning.mp3,nature_sounds/041_birds_morning.mp3
Waterfall Small,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\042_waterfall_small.mp3,nature_sounds/042_waterfall_small.mp3
Winter Storm,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\043_winter_storm.mp3,nature_sounds/043_winter_storm.mp3
Summer Night,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\044_summer_night.mp3,nature_sounds/044_summer_night.mp3
Ocean Deep,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\045_ocean_deep.mp3,nature_sounds/045_ocean_deep.mp3
Forest Rain,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\046_forest_rain.mp3,nature_sounds/046_forest_rain.mp3
Mountain Stream,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\047_mountain_stream.mp3,nature_sounds/047_mountain_stream.mp3
Desert Night,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\048_desert_night.mp3,nature_sounds/048_desert_night.mp3
Tropical Birds,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\049_tropical_birds.mp3,nature_sounds/049_tropical_birds.mp3
River Rapids,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\050_river_rapids.mp3,nature_sounds/050_river_rapids.mp3
